1,1,1539,0,85,48,1
1,2,1499,0,130,76,1
1,3,1451,0,203,93,1
1,4,1407,0,230,49,2
1,4,1435,0,166,127,1
1,5,1395,0,237,66,2
1,5,1424,0,151,147,1
1,6,1408,0,191,182,1
1,6,1373,0,251,91,2
1,7,1360,0,263,121,2
1,7,1392,0,201,205,1
1,8,1376,0,209,241,1
1,8,1347,0,279,151,2
1,9,1354,0,222,265,1
1,9,1337,0,283,178,2
1,9,1834,0,87,131,1
1,10,1329,0,284,210,2
1,10,1806,0,115,166,1
1,10,1338,0,291,304,1
1,11,1324,0,307,236,2
1,11,1331,0,289,326,1
1,11,1785,0,136,189,1
1,12,1760,0,161,226,1
1,12,1323,3,297,360,1
1,12,1319,0,308,269,2
1,13,1295,0,331,396,1
1,13,1304,0,327,299,2
1,13,1740,0,181,257,1
1,14,1320,0,311,337,2
1,14,1293,26,332,409,1
1,14,1717,2,204,274,1
1,15,1667,0,254,310,1
1,15,1299,36,330,432,1
1,15,1700,0,215,238,3
1,15,1299,0,338,365,2
1,16,1314,0,327,408,2
1,16,1294,80,347,428,1
1,16,1648,0,273,351,1
1,16,1651,0,270,255,3
1,17,1634,0,277,279,3
1,17,1632,11,289,363,1
1,17,1299,110,337,426,1
1,17,1330,0,315,434,2
1,18,1303,0,331,439,5
1,18,1606,0,297,315,3
1,18,1602,39,307,378,1
1,18,1309,148,314,435,1
1,18,1334,7,332,474,2
1,19,1596,0,295,340,3
1,19,1313,0,333,471,5
1,19,1347,216,334,404,1
1,19,1340,35,340,479,2
1,19,1597,60,296,385,1
1,20,1590,0,282,394,3
1,20,1797,9,123,299,1
1,20,1817,0,104,241,2
1,20,1327,32,311,487,5
1,20,1328,209,368,459,1
1,20,1359,72,343,496,2
1,20,1598,91,273,392,1
1,21,1806,0,115,329,2
1,21,1596,0,257,357,3
1,21,1776,31,145,388,1
1,21,1596,103,255,403,1
1,21,1335,56,322,491,5
1,21,1333,244,384,464,1
1,21,1360,99,359,506,2
1,22,1352,290,401,472,1
1,22,1359,96,359,508,5
1,22,1759,60,162,391,1
1,22,1586,158,256,348,1
1,22,1598,9,263,423,3
1,22,1381,134,367,528,2
1,22,1779,0,142,362,2
1,23,1760,80,161,400,1
1,23,1767,0,154,359,2
1,23,1602,177,252,342,1
1,23,1602,30,252,400,3
1,23,1367,322,394,476,1
1,23,1362,119,360,518,5
1,23,1393,159,371,538,2
1,24,1759,168,161,341,1
1,24,1602,65,258,438,3
1,24,1395,167,368,534,5
1,24,1413,209,387,548,2
1,24,1385,366,414,495,1
1,24,1758,0,163,372,2
1,24,1601,230,261,321,1
1,25,1398,398,431,499,1
1,25,1621,251,237,340,1
1,25,1757,0,164,396,2
1,25,1757,186,164,297,1
1,25,1434,234,359,560,2
1,25,1410,203,418,533,5
1,25,1609,89,266,435,3
1,26,1437,450,419,509,1
1,26,1439,284,423,545,2
1,26,1430,244,387,541,5
1,26,1615,128,273,369,3
1,26,1715,2,205,409,2
1,26,1613,291,238,264,1
1,26,1691,169,230,333,1
1,27,1447,276,401,552,5
1,27,1482,316,404,575,2
1,27,1610,201,311,248,1
1,27,1661,7,260,447,2
1,27,1603,151,312,368,3
1,27,1451,479,434,524,1
1,27,1603,336,318,242,1
1,28,1593,355,328,263,1
1,28,1743,0,178,135,1
1,28,1484,534,436,533,1
1,28,1517,363,404,561,2
1,28,1485,316,436,606,5
1,28,1589,190,332,414,3
1,28,1596,39,325,391,2
1,29,1507,345,414,584,5
1,29,1603,211,318,393,3
1,29,1606,382,315,272,1
1,29,1574,66,347,383,2
1,29,1554,263,366,203,1
1,29,1704,0,217,148,1
1,29,1709,0,212,110,2
1,29,1506,572,413,509,1
1,29,1537,397,384,592,2
1,30,1567,444,354,601,2
1,30,1628,0,257,206,1
1,30,1540,393,381,595,5
1,30,1540,621,381,460,1
1,30,1626,256,295,316,3
1,30,1625,430,296,139,1
1,30,1541,102,360,469,2
1,30,1518,308,378,260,1
1,30,1628,0,255,145,2
1,31,1496,341,385,285,1
1,31,1587,0,262,184,1
1,31,1605,0,244,166,2
1,31,1598,479,323,602,2
1,31,1566,424,355,609,5
1,31,1567,666,354,415,1
1,31,1517,127,368,471,2
1,31,1639,285,282,308,3
1,32,1528,0,272,261,1
1,32,1537,0,258,201,2
1,32,1603,475,318,606,5
1,32,1680,324,241,372,3
1,32,1481,164,368,560,2
1,32,1463,375,386,351,1
1,32,1608,722,310,359,1
1,32,1641,529,280,552,2
